iter	Passed	Remaining
1550	86319	13857
1551	86377	13802
1552	86435	13747
1553	86491	13691
1554	86550	13636
1555	86606	13580
1556	86663	13525
1557	86711	13468
1558	86765	13412
1559	86822	13357
1560	86878	13301
1561	86938	13246
1562	86994	13191
1563	87053	13135
1564	87107	13080
1565	87155	13023
1566	87208	12967
1567	87267	12911
1568	87329	12857
1569	87374	12800
1570	87433	12744
1571	87493	12689
1572	87550	12634
1573	87610	12579
1574	87668	12524
1575	87723	12468
1576	87779	12412
1577	87824	12355
1578	87879	12299
1579	87933	12243
1580	87964	12184
1581	88017	12128
1582	88070	12072
1583	88127	12017
1584	88188	11962
1585	88241	11906
1586	88298	11851
1587	88354	11795
1588	88406	11739
1589	88462	11683
1590	88511	11627
1591	88571	11572
1592	88633	11517
1593	88689	11461
1594	88746	11406
1595	88806	11351
1596	88864	11295
1597	88919	11240
1598	88977	11184
1599	89043	11130
1600	89101	11075
1601	89159	11019
1602	89224	10965
1603	89250	10905
1604	89305	10850
1605	89363	10794
1606	89425	10739
1607	89481	10684
1608	89533	10628
1609	89593	10573
1610	89644	10516
1611	89692	10460
1612	89746	10404
1613	89803	10349
1614	89861	10293
1615	89918	10238
1616	89975	10182
1617	90035	10127
1618	90091	10071
1619	90148	10016
1620	90198	9960
1621	90255	9904
1622	90314	9849
1623	90371	9793
1624	90430	9738
1625	90485	9682
1626	90542	9627
1627	90602	9572
1628	90660	9516
1629	90719	9461
1630	90779	9406
1631	90835	9350
1632	90892	9295
1633	90951	9239
1634	91008	9184
1635	91067	9129
1636	91125	9073
1637	91181	9017
1638	91240	8962
1639	91299	8907
1640	91345	8850
1641	91399	8794
1642	91458	8739
1643	91517	8684
1644	91576	8628
1645	91632	8573
1646	91687	8517
1647	91742	8461
1648	91804	8406
1649	91862	8351
1650	91911	8294
1651	91971	8239
1652	92027	8183
1653	92082	8128
1654	92135	8072
1655	92193	8016
1656	92253	7961
1657	92312	7906
1658	92371	7850
1659	92424	7794
